run;weight;alpha;beta;harbourBonus;dist
735;prom;0.86;0.43;1.75;78360.67
449;prom;1.25;1.07;1.74;78362.08
672;prom;0.23;1.89;1.76;78363.03
842;prom;1.87;1.75;1.71;78363.56
445;prom;0.40;1.94;1.76;78363.94
191;prom;0.68;0.52;1.75;78364.43
528;prom;0.07;0.35;1.76;78365.50
766;prom;1.06;0.96;1.73;78368.29
126;prom;1.04;0.44;1.72;78369.91
380;prom;0.00;1.00;1.74;78375.09
839;prom;1.12;1.26;1.72;78375.47
873;prom;1.82;0.43;1.50;78377.53
394;prom;1.01;1.11;1.71;78381.07
823;prom;1.59;1.49;1.68;78382.85
393;prom;1.45;1.22;1.68;78387.43
419;prom;0.96;0.31;1.68;78389.62
132;prom;0.74;0.20;1.68;78389.63
531;prom;0.93;1.34;1.69;78390.07
674;prom;0.08;0.53;1.70;78390.09
50;farming;0.01;0.56;1.85;78393.50
683;prom;0.67;0.51;1.68;78394.33
281;prom;1.03;0.04;1.65;78395.48
661;prom;0.90;1.83;1.68;78395.73
641;prom;1.36;0.80;1.66;78396.59
655;prom;0.39;0.44;1.68;78397.88
945;prom;1.01;0.26;1.65;78399.46
100;prom;1.01;0.04;1.64;78401.95
781;prom;1.14;1.20;1.66;78402.29
264;prom;0.86;0.42;1.65;78403.06
722;prom;0.42;0.40;1.66;78404.05
131;prom;0.84;1.46;1.66;78404.56
803;prom;1.11;0.61;1.64;78406.83
516;prom;0.01;1.02;1.67;78409.16
552;prom;0.51;1.06;1.66;78410.62
758;farming;0.08;0.23;1.77;78411.31
239;prom;1.18;0.87;1.63;78412.39
759;prom;0.81;0.99;1.64;78415.05
855;prom;1.46;0.51;1.58;78415.60
985;prom;1.52;0.60;1.58;78417.32
247;prom;1.58;1.89;1.61;78417.95
178;farming;0.12;0.46;1.89;78418.12
137;prom;1.34;0.68;1.61;78419.65
637;prom;0.20;1.39;1.64;78420.94
294;prom;0.69;0.26;1.61;78423.62
41;prom;1.85;1.31;1.57;78424.08
691;prom;1.68;0.46;1.45;78425.46
572;prom;0.31;1.66;1.63;78425.87
765;prom;1.40;1.71;1.60;78426.02
480;prom;0.94;1.23;1.61;78427.96
993;prom;1.93;1.97;1.55;78428.30
312;prom;1.64;1.26;1.58;78428.83
565;prom;1.29;0.92;1.58;78433.32
124;prom;0.84;1.24;1.60;78434.10
442;prom;1.39;1.38;1.58;78434.13
210;prom;0.03;1.85;1.61;78435.11
566;prom;1.63;1.78;1.57;78435.39
223;prom;0.22;0.74;1.61;78436.30
89;prom;0.37;0.35;1.60;78436.73
675;prom;0.72;0.75;1.59;78439.48
537;prom;0.61;0.38;1.58;78443.55
23;prom;0.85;0.03;1.56;78444.74
639;prom;1.70;0.35;1.32;78451.67
258;prom;0.72;1.13;1.56;78453.38
308;prom;0.70;1.57;1.56;78454.70
908;prom;0.12;0.63;1.57;78455.56
