code;cost
10_131;565012
10_132;896561
10_133;477328
10_134;1023768
10_135;1119439
10_136;929908
10_137;964726
10_138;563208
10_139;647173
10_140;745552
11_1;996214
11_2;360166
11_3;625642
11_4;479395
11_5;636639
11_6;257281
11_7;495054
11_8;493785
11_9;247846
11_10;619724
11_11;0
11_12;900667
11_13;616153
11_14;57911
11_15;645495
11_16;247832
11_17;587375
11_18;623498
11_19;992240
11_20;210917
11_21;393202
11_22;647765
11_23;136661
11_24;233089
11_25;379991
11_26;504189
11_27;227835
11_28;220524
11_29;882918
11_30;608290
11_31;947457
11_32;1007588
11_33;454338
11_34;521499
11_35;978758
11_36;435450
11_37;239266
11_38;411026
11_39;278504
11_40;598618
11_41;1064415
11_42;862069
11_43;362039
11_44;443002
11_45;675527
11_46;877011
11_47;641206
11_48;610072
11_49;462190
11_50;955703
11_51;630282
11_52;1197702
11_53;892968
11_54;791143
11_55;655255
11_56;648020
11_57;625683
11_58;973691
11_59;443002
11_60;328055
11_61;159597
11_62;871771
11_63;611207
11_64;928304
11_65;931789
11_66;556233
11_67;1355871
11_68;257259
11_69;243244
11_70;198300
11_71;351799
11_72;257475
11_73;238728
11_74;1028845
11_75;927163
11_76;236523
11_77;322177
11_78;669040
11_79;489862
11_80;1035003
11_81;230601
11_82;241626
11_83;551277
11_84;967069
11_85;520523
11_86;679496
11_87;491964
11_88;425923
11_89;979057
11_90;396966
11_91;762831
11_92;885051
11_93;276690
11_94;343500
11_95;985475
11_96;993132
11_97;474831
11_98;848765
11_99;1011228
11_100;379266
11_101;690259
11_102;924219
11_103;924807
11_104;1204135
11_105;796147
11_106;293565
11_107;910601
11_108;808237
11_109;374756
11_110;956780
11_111;401535
11_112;669102
11_113;455289
11_114;967847
11_115;1087041
11_116;1033240
11_117;731055
11_118;1238908
11_119;311694
11_120;891279
11_121;875481
11_122;652061
11_123;721874
11_124;221913
11_125;909590
11_126;1231867
11_127;652986
11_128;481790
11_129;567740
11_130;1165743
11_131;828813
11_132;830736
11_133;959517
11_134;396958
11_135;595540
11_136;1055425
11_137;853250
11_138;941173
11_139;977984
11_140;1017591
12_1;456964
12_2;1006828
12_3;1422755
12_4;1198255
12_5;1440128
12_6;1158462
12_7;1154871
12_8;1241741
12_9;1151305
12_10;1423353
12_11;904051
12_12;0
12_13;1419527
12_14;845844
12_15;1411271
12_16;1149819
12_17;1388750
12_18;1427127
12_19;433189
12_20;1103238
12_21;1138192
12_22;992849
12_23;913562
12_24;1133103
12_25;1045330
12_26;1025093
12_27;1131294
12_28;1123983
12_29;1537099
12_30;942969
12_31;1575449
12_32;1614459
12_33;1068335
12_34;1325224
12_35;1627090
12_36;1173555
12_37;1142725
12_38;1123341
12_39;1113230
12_40;1329461
12_41;1592013
12_42;142933
12_43;1133274
12_44;1191381
12_45;1436569
12_46;1524447
12_47;1439986
12_48;1354534
12_49;1183065
12_50;1599891
12_51;1276979
12_52;487804
12_53;456804
12_54;1288411
12_55;1259307
12_56;1448142
12_57;1342255
12_58;1550082
12_59;1224200
12_60;1106990
12_61;769092
12_62;1532140
12_63;1155721
12_64;1283828
12_65;1576661
12_66;1359862
12_67;526311
12_68;1157686
12_69;1146703
12_70;922134
12_71;1161634
12_72;1131756
12_73;917129
12_74;430026
12_75;1581344
12_76;936480
12_77;1149866
12_78;1451791
12_79;1293587
12_80;1653212
12_81;1130616
12_82;1142677
12_83;1354906
12_84;1601852
12_85;1226605
12_86;1468058
12_87;1117205
12_88;1110407
12_89;1607048
12_90;1115354
12_91;1454994
12_92;1224012
12_93;1130533
12_94;1068733
12_95;1660735
12_96;1649177
12_97;843652
12_98;1500617
12_99;1590205
12_100;945041
12_101;1163671
12_102;479093
12_103;1489724
12_104;1682720
12_105;1440336
12_106;1155053
12_107;250807
12_108;1452426
12_109;1180308
12_110;723926
12_111;1207300
12_112;1409582
12_113;896525
12_114;1612035
12_115;1708116
12_116;1659527
12_117;688156
12_118;1681240
12_119;766650
12_120;1545460
12_121;844101
12_122;1293726
12_123;1372987
12_124;954743
12_125;1553779
12_126;1702190
12_127;1299531
12_128;660022
12_129;616215
12_130;1538101
12_131;1441464
12_132;1115343
12_133;1615562
12_134;810246
12_135;354897
12_136;1407743
12_137;1066728
12_138;1580801
12_139;1590442
